t,a
10.72,-0.53422
10.74,-0.40045
10.76,-0.2644
10.78,-0.14441
10.8,-0.05643
10.82,0.00276
10.84,0.118
10.86,-0.1213
10.88,-0.08033
10.9,0.15549
10.92,0.0087
10.94,-0.09824
10.96,-0.09691
10.98,-0.0057
11,-0.2531
11.02,-0.312
11.04,-0.0325
11.06,0.20595
11.08,0.31417
11.1,0.17536
11.12,-0.09444
11.14,-0.14868
11.16,-0.00618
11.18,0.07752
11.2,0.37098
11.22,0.44291
11.24,0.27651
11.26,0.18147
11.28,0.04275
11.3,-0.08732
11.32,-0.13059
11.34,-0.29627
11.36,-0.33871
11.38,-0.11165
11.4,0.04909
11.42,0.07867
11.44,-0.1329
11.46,-0.25297
11.48,-0.03459
11.5,-0.05253
11.52,-0.24603
11.54,0.02257
11.56,0.40716
11.58,0.49113
11.6,0.46476
11.62,0.37667
11.64,0.23513
11.66,0.27378
11.68,0.07746
11.7,0.00682
11.72,0.2753
11.74,0.17829
11.76,0.01812
11.78,-0.08818
11.8,-0.00086
11.82,0.05997
11.84,0.01676
11.86,0.03042
11.88,-0.28254
11.9,-0.43429
11.92,-0.17507
11.94,0.02521
11.96,0.07882
11.98,-0.05182
12,-0.14363
12.02,0.14439
12.04,0.15528
12.06,0.05839
12.08,0.2045
12.1,0.24261
12.12,0.18989
12.14,0.05681
12.16,0.18231
12.18,-0.00434
12.2,-0.42725
12.22,-0.71091
12.24,-0.81223
12.26,-0.73208
12.28,-0.74767
12.3,-0.5102
12.32,-0.12536
12.34,0.28565
12.36,0.6673
12.38,0.53058
12.4,0.12997
12.42,0.06757
12.44,0.25324
12.46,0.32163
12.48,0.30983
12.5,0.5193
12.52,0.34181
12.54,0.00559
12.56,0.00649
12.58,0.04611
12.6,0.19399
12.62,0.02908
12.64,-0.20916
12.66,-0.24322
12.68,-0.29328
12.7,-0.20163
12.72,-0.15375
12.74,-0.23552
12.76,-0.37605
12.78,-0.45266
12.8,-0.30295
12.82,-0.18593
12.84,-0.06275
12.86,-0.08887
12.88,-0.25295
12.9,-0.23277
12.92,-0.3589
12.94,-0.40302
12.96,-0.29486
12.98,-0.10138
13,0.13886
13.02,0.30586
13.04,0.47704
13.06,0.4541
13.08,0.36007
13.1,0.44165
13.12,0.45052
13.14,0.33701
13.16,0.1995
13.18,0.09575
13.2,0.01024
13.22,0.02499
13.24,0.13914
13.26,0.17125
13.28,0.25011
13.3,0.27799
13.32,-0.11277
13.34,-0.46818
13.36,-0.58238
13.38,-0.57684
13.4,-0.17685
13.42,0.09793
13.44,0.1371
13.46,-0.12845
13.48,-0.29866
13.5,-0.10188
13.52,0.00942
13.54,-0.01613
13.56,-0.00848
13.58,0.37414
13.6,0.63996
13.62,0.6167
13.64,0.45939
13.66,0.20344
13.68,-0.24126
13.7,-0.64103
13.72,-0.61638
13.74,-0.72952
13.76,-0.57908
13.78,-0.17218
13.8,-0.03071
13.82,-0.18521
13.84,-0.40045
13.86,-0.16373
13.88,-0.14273
13.9,-0.32955
13.92,-0.24333
13.94,0.05885
13.96,0.28706
13.98,0.19201
14,0.14356
14.02,0.06894
14.04,-0.21527
14.06,-0.3892
14.08,-0.58041
14.1,-0.70199
14.12,-0.37994
14.14,0.16548
14.16,0.53448
14.18,0.42821
14.2,-0.05876
14.22,-0.70255
14.24,-1.14378
14.26,-1.30046
14.28,-0.91538
14.3,0.06947
14.32,0.77143
14.34,0.50476
14.36,-0.07975
14.38,-0.17886
14.4,0.17698
14.42,0.66146
14.44,0.70648
14.46,0.33992
14.48,0.19516
14.5,0.40761
14.52,0.72116
14.54,0.83307
14.56,0.6627
14.58,0.23336
14.6,-0.03607
14.62,0.18718
14.64,0.35724
14.66,0.13809
14.68,-0.23539
14.7,-0.23344
14.72,0.02363
14.74,0.17296
14.76,0.03329
14.78,-0.47689
14.8,-1.15225
14.82,-1.48574
14.84,-1.24126
14.86,-0.99069
14.88,-0.80845
14.9,-0.48459
14.92,0.09705
14.94,0.83115
14.96,1.2769
14.98,1.31823
15,1.21002
15.02,1.27563
15.04,1.35884
15.06,1.21465
15.08,0.69942
15.1,-0.11278
15.12,-0.8951
15.14,-1.27452
15.16,-0.83472
15.18,-0.13877
15.2,0.0165
15.22,-0.13769
15.24,-0.33827
15.26,-0.2998
15.28,0.10275
15.3,0.51611
15.32,0.72891
15.34,0.5918
15.36,0.44976
15.38,0.3446
15.4,0.11473
15.42,-0.00815
15.44,0.07063
15.46,0.07141
15.48,-0.19571
15.5,-0.17546
15.52,0.18348
15.54,0.06811
15.56,-0.36437
15.58,-0.60143
15.6,-0.58459
15.62,-0.43722
15.64,-0.41562
15.66,-0.56773
15.68,-0.7379
15.7,-0.78266
15.72,-0.91807
15.74,-1.00578
15.76,-1.00518
15.78,-0.68183
15.8,-0.00771
15.82,0.46987
15.84,0.41478
15.86,0.09707
15.88,0.06139
15.9,0.32369
15.92,0.52043
15.94,0.45681
15.96,0.22128
15.98,-0.03971
16,-0.28112
16.02,-0.49606
16.04,-0.56641
16.06,-0.27302
16.08,0.43203
16.1,0.85383
16.12,1.01447
16.14,1.23714
16.16,1.37827
16.18,1.44358
16.2,1.01188
16.22,0.26012
16.24,-0.27449
16.26,-0.67008
16.28,-0.82747
16.3,-0.41723
16.32,0.29268
16.34,0.64734
16.36,0.63421
16.38,0.65881
16.4,0.59291
16.42,0.22749
16.44,-0.14716
16.46,-0.3193
16.48,-0.28494
16.5,0.05347
16.52,0.43477
16.54,0.5905
16.56,0.74681
16.58,0.9183
16.6,0.99816
16.62,0.79355
16.64,0.41561
16.66,0.01186
16.68,-0.55452
16.7,-0.9921
16.72,-1.15898
16.74,-1.23714
16.76,-1.23074
16.78,-1.11751
16.8,-1.16273
16.82,-1.3281
16.84,-1.44855
16.86,-1.421
16.88,-1.06491
16.9,-0.4534
16.92,0.11474
16.94,0.36212
16.96,0.34738
16.98,0.24274
17,0.16768
17.02,0.25939
17.04,0.44454
17.06,0.46739
17.08,0.48076
17.1,0.49923
17.12,0.19402
17.14,0.04722
17.16,0.20111
17.18,0.1886
17.2,0.17125
17.22,0.12092
17.24,0.29256
17.26,0.64109
17.28,0.82988
17.3,0.94239
17.32,1.04553
17.34,1.19014
17.36,1.28462
17.38,1.16977
17.4,0.70476
17.42,0.26677
17.44,0.05235
17.46,0.22146
17.48,0.74122
17.5,1.13134
17.52,1.36852
17.54,1.34795
17.56,1.15766
17.58,0.85149
17.6,0.46791
17.62,0.16681
