t,sg,y,v
1.370000, 236.631310, -17.508912 , 38.791823,142.123066 
1.380000, 237.998038, -17.110416 , 40.202098,139.931815 
1.390000, 238.730976, -16.697991 , 41.589336,137.515781 
1.400000, 238.831819, -16.271875 , 42.952413,135.099747 
1.410000, 238.306264, -15.832316 , 44.290299,132.477411 
1.420000, 237.163980, -15.379576 , 45.601961,129.855075 
1.430000, 235.418546, -14.913922 , 46.886468,127.046227 
1.440000, 233.087362, -14.435635 , 48.142886,124.237379 
1.450000, 230.191541, -13.944999 , 49.370388,121.262991 
1.460000, 226.755775, -13.442312 , 50.568146,118.288602 
1.470000, 222.808178, -12.927876 , 51.735442,115.170694 
1.480000, 218.380108, -12.402001 , 52.871560,112.052785 
1.490000, 213.505967, -11.865003 , 53.975895,108.814288 
1.500000, 208.222987, -11.317204 , 55.047845,105.575790 
1.510000, 202.570989, -10.758933 , 56.086926,102.240397 
1.520000, 196.592133, -10.190520 , 57.092653,98.905004 
1.530000, 190.330652, -9.612304 , 58.064664,95.497025 
1.540000, 183.832568, -9.024623 , 59.002594,92.089046 
1.550000, 177.145405, -8.427820 , 59.906205,88.633250 
1.560000, 170.317885, -7.822240 , 60.775259,85.177454 
1.570000, 163.399617, -7.208229 , 61.609641,81.698912 
1.580000, 156.440789, -6.586136 , 62.409237,78.220371 
1.590000, 149.491843, -5.956307 , 63.174060,74.744300 
1.600000, 142.603159, -5.319091 , 63.904123,71.268229 
1.610000, 135.824737, -4.674834 , 64.599563,67.819829 
1.620000, 129.205877, -4.023881 , 65.260520,64.371429 
1.630000, 122.794866, -3.366576 , 65.887255,60.975725 
1.640000, 116.638675, -2.703257 , 66.480034,57.580021 
1.650000, 110.782661, -2.034263 , 67.039243,54.261705 
1.660000, 105.270278, -1.359925 , 67.565268,50.943388 
1.670000, 100.142800, -0.680573 , 68.058619,47.726659 
1.680000, 95.439064, 0.003473 , 68.519801,44.509929 
1.690000, 91.195220, 0.691893 , 68.949443,41.418345 
1.700000, 87.444504, 1.384378 , 69.348168,38.326760 
1.710000, 84.217026, 2.080624 , 69.716718,35.383083 
1.720000, 81.539580, 2.780334 , 70.055830,32.439406 
1.730000, 79.435472, 3.483221 , 70.366354,29.665462 
1.740000, 77.924378, 4.189006 , 70.649139,26.891519 
1.750000, 77.022213, 4.897417 , 70.905137,24.308060 
1.760000, 76.741032, 5.608195 , 71.135300,21.724601 
1.770000, 77.088956, 6.321088 , 71.340679,19.351169 
1.780000, 78.070117, 7.035857 , 71.522324,16.977738 
1.790000, 79.684635, 7.752273 , 71.681375,14.832545 
1.800000, 81.928615, 8.470119 , 71.818975,12.687352 
1.810000, 84.794173, 9.189189 , 71.936347,10.787164 
1.820000, 88.269485, 9.909290 , 72.034718,8.886975 
1.830000, 92.338862, 10.630243 , 72.115388,7.247003 
1.840000, 96.982851, 11.351878 , 72.179658,5.607032 
1.850000, 102.178355, 12.074044 , 72.228897,4.240840 
1.860000, 107.898784, 12.796600 , 72.264475,2.874648 
1.870000, 114.114220, 13.519420 , 72.287818,1.794064 
1.880000, 120.791607, 14.242392 , 72.300356,0.713480 
1.890000, 127.894961, 14.965420 , 72.303566,-0.071479 
1.900000, 135.385600, 15.688421 , 72.298927,-0.856437 
1.910000, 143.222386, 16.411328 , 72.287956,-1.337626 
1.920000, 151.361987, 17.134089 , 72.272174,-1.818815 
1.930000, 159.759152, 17.856668 , 72.253130,-1.990015 
1.940000, 168.366998, 18.579043 , 72.232374,-2.161215 
1.950000, 177.137306, 19.301210 , 72.211477,-2.018173 
1.960000, 186.020829, 20.023179 , 72.192010,-1.875131 
1.970000, 194.967599, 20.744976 , 72.175557,-1.415584 
1.980000, 203.927251, 21.466643 , 72.163699,-0.956036 
1.990000, 212.849336, 22.188237 , 72.158020,-0.179728 
2.000000, 221.683643, 22.909833 , 72.160104,0.596581 
2.010000, 230.380520, 23.631519 , 72.171526,1.687899 
2.020000, 238.891182, 24.353402 , 72.193862,2.779218 
2.030000, 247.168028, 25.075602 , 72.228667,4.181799 
2.040000, 255.164935, 25.798255 , 72.277498,5.584380 
2.050000, 262.837559, 26.521513 , 72.341882,7.292503 
2.060000, 270.143608, 27.245542 , 72.423348,9.000625 
2.070000, 277.043114, 27.970526 , 72.523384,11.006633 
2.080000, 283.498685, 28.696661 , 72.643481,13.012640 
2.090000, 289.475745, 29.424158 , 72.785079,15.306987 
2.100000, 294.942748, 30.153242 , 72.949620,17.601334 
2.110000, 299.871383, 30.884155 , 73.138490,20.172648 
2.120000, 304.236751, 31.617149 , 73.353073,22.743962 
2.130000, 308.017520, 32.352492 , 73.594689,25.579114 
2.140000, 311.196067, 33.090464 , 73.864656,28.414267 
2.150000, 313.758584, 33.831357 , 74.164219,31.498459 
2.160000, 315.695168, 34.575477 , 74.494625,34.582650 
2.170000, 316.999883, 35.323142 , 74.857036,37.899502 
2.180000, 317.670797, 36.074679 , 75.252615,41.216353 
2.190000, 317.709996, 36.830429 , 75.682437,44.748012 
2.200000, 317.123570, 37.590742 , 76.147575,48.279670 
2.210000, 315.921573, 38.355978 , 76.649008,52.006921 
2.220000, 314.117963, 39.126509 , 77.187714,55.734171 
2.230000, 311.730507, 39.902712 , 77.764567,59.636559 
2.240000, 308.780676, 40.684977 , 78.380445,63.538948 
2.250000, 305.293504, 41.473699 , 79.036114,67.594909 
2.260000, 301.297431, 42.269282 , 79.732343,71.650871 
2.270000, 296.824122, 43.072136 , 80.469787,75.837869 
2.280000, 291.908267, 43.882679 , 81.249100,80.024866 
2.290000, 286.587360, 44.701333 , 82.070822,84.319531 
2.300000, 280.901464, 45.528526 , 82.935491,88.614195 
2.310000, 274.892953, 46.364691 , 83.843524,92.992477 
2.320000, 268.606249, 47.210265 , 84.795340,97.370759 
2.330000, 262.087533, 48.065687 , 85.791235,101.808076 
2.340000, 255.384460, 48.931402 , 86.831502,106.245394 
2.350000, 248.545853, 49.807853 , 87.916313,110.716793 
2.360000, 241.621391, 50.695487 , 89.045838,115.188193 
